ExternalReferenceNumber,PaymentDistributionReference,SendingAccount,ReceivingAccount,CreateDateTime,EffectiveDate,ReceiveDateTime,Amount
TRN02020570,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000068,7040610000069,06/07/2023,07/07/2023,08/07/2023,261
TRN02020571,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000069,7040610000070,07/07/2023,08/07/2023,09/07/2023,1016
TRN02020572,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000070,7040610000071,08/07/2023,09/07/2023,10/07/2023,1063
TRN02020573,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000071,7040610000072,09/07/2023,10/07/2023,11/07/2023,164
TRN02020574,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000072,7040610000073,10/07/2023,11/07/2023,12/07/2023,1499
TRN02020575,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000073,7040610000074,11/07/2023,12/07/2023,13/07/2023,626
TRN02020576,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000074,7040610000075,12/07/2023,13/07/2023,14/07/2023,2306
TRN02020577,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000075,7040610000076,13/07/2023,14/07/2023,15/07/2023,3112
TRN02020578,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000076,7040610000077,14/07/2023,15/07/2023,16/07/2023,1935
TRN02020579,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000077,7040610000078,15/07/2023,16/07/2023,17/07/2023,3219
TRN02020580,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000078,7040610000079,16/07/2023,17/07/2023,18/07/2023,1822
TRN02020581,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000079,7040610000080,17/07/2023,18/07/2023,19/07/2023,2274
TRN02020582,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000080,7040610000081,18/07/2023,19/07/2023,20/07/2023,2046
TRN02020583,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000081,7040610000082,19/07/2023,20/07/2023,21/07/2023,3097
TRN02020584,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000082,7040610000083,20/07/2023,21/07/2023,22/07/2023,2749
TRN02020585,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000083,7040610000084,21/07/2023,22/07/2023,23/07/2023,990
TRN02020586,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000084,7040610000085,22/07/2023,23/07/2023,24/07/2023,510
TRN02020587,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000085,7040610000086,23/07/2023,24/07/2023,25/07/2023,3089
TRN02020588,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000086,7040610000087,24/07/2023,25/07/2023,26/07/2023,1758
TRN02020589,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000087,7040610000088,25/07/2023,26/07/2023,27/07/2023,2426
TRN02020590,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000088,7040610000089,26/07/2023,27/07/2023,28/07/2023,3102
TRN02020591,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000089,7040610000090,27/07/2023,28/07/2023,29/07/2023,1405
TRN02020592,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000090,7040610000091,28/07/2023,29/07/2023,30/07/2023,2862
TRN02020593,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000091,7040610000092,29/07/2023,30/07/2023,31/07/2023,1112
TRN02020594,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000092,7040610000093,30/07/2023,31/07/2023,01/08/2023,2394
TRN02020595,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000093,7040610000094,31/07/2023,01/08/2023,02/08/2023,1659
TRN02020596,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000094,7040610000095,01/08/2023,02/08/2023,03/08/2023,42
TRN02020597,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000095,7040610000096,02/08/2023,03/08/2023,04/08/2023,864
TRN02020598,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000096,7040610000097,03/08/2023,04/08/2023,05/08/2023,966
TRN02020599,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000097,7040610000098,04/08/2023,05/08/2023,06/08/2023,1808
TRN02020600,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000098,7040610000099,05/08/2023,06/08/2023,07/08/2023,790
TRN02020601,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000099,7040610000100,06/08/2023,07/08/2023,08/08/2023,1508
TRN02020602,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000100,7040610000101,04/08/2023,05/08/2023,06/08/2023,731
TRN02020603,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000101,7040610000102,05/08/2023,06/08/2023,07/08/2023,1965
TRN02020604,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000102,7040610000103,06/08/2023,07/08/2023,08/08/2023,220
TRN02020605,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000103,7040610000104,04/08/2023,05/08/2023,06/08/2023,307
TRN02020606,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000104,7040610000105,05/08/2023,06/08/2023,07/08/2023,2059
TRN02020607,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000105,7040610000106,06/08/2023,07/08/2023,08/08/2023,1915
TRN02020608,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000106,7040610000107,04/08/2023,05/08/2023,06/08/2023,2014
TRN02020609,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000107,7040610000108,05/08/2023,06/08/2023,07/08/2023,2649
TRN02020610,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000108,7040610000109,06/08/2023,07/08/2023,08/08/2023,1246
TRN02020611,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000109,7040610000110,04/08/2023,05/08/2023,06/08/2023,827
TRN02020612,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000110,7040610000111,05/08/2023,06/08/2023,07/08/2023,173
TRN02020613,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000111,7040610000112,06/08/2023,07/08/2023,08/08/2023,1180
TRN02020614,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000112,7040610000113,07/08/2023,08/08/2023,09/08/2023,2410
TRN02020615,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000113,7040610000114,08/08/2023,09/08/2023,10/08/2023,3027
TRN02020616,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000114,7040610000115,09/08/2023,10/08/2023,11/08/2023,953
TRN02020617,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000115,7040610000116,10/08/2023,11/08/2023,12/08/2023,477
TRN02020618,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000116,7040610000117,11/08/2023,12/08/2023,13/08/2023,214
TRN02020619,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000117,7040610000118,12/08/2023,13/08/2023,14/08/2023,945
TRN02020620,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000118,7040610000119,13/08/2023,14/08/2023,15/08/2023,839
TRN02020621,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000119,7040610000120,14/08/2023,15/08/2023,16/08/2023,1999
TRN02020622,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000120,7040610000121,12/08/2023,13/08/2023,14/08/2023,2661
TRN02020623,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000121,7040610000122,13/08/2023,14/08/2023,15/08/2023,2551
TRN02020624,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000122,7040610000123,14/08/2023,15/08/2023,16/08/2023,1492
TRN02020625,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000123,7040610000124,12/08/2023,13/08/2023,14/08/2023,303
TRN02020626,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000124,7040610000125,13/08/2023,14/08/2023,15/08/2023,2023
TRN02020627,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000125,7040610000126,14/08/2023,15/08/2023,16/08/2023,2908
TRN02020628,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000126,7040610000127,12/08/2023,13/08/2023,14/08/2023,2535
TRN02020629,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000127,7040610000128,13/08/2023,14/08/2023,15/08/2023,3047
TRN02020630,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000128,7040610000129,14/08/2023,15/08/2023,16/08/2023,1325
TRN02020631,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000129,7040610000130,15/08/2023,16/08/2023,17/08/2023,1522
TRN02020632,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000130,7040610000131,16/08/2023,17/08/2023,18/08/2023,955
TRN02020633,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000131,7040610000132,17/08/2023,18/08/2023,19/08/2023,2540
TRN02020634,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000132,7040610000133,18/08/2023,19/08/2023,20/08/2023,2915
TRN02020635,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000133,7040610000134,19/08/2023,20/08/2023,21/08/2023,2353
TRN02020636,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000134,7040610000135,20/08/2023,21/08/2023,22/08/2023,1340
TRN02020637,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000135,7040610000136,21/08/2023,22/08/2023,23/08/2023,773
TRN02020638,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000136,7040610000137,22/08/2023,23/08/2023,24/08/2023,2726
TRN02020639,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000137,7040610000138,23/08/2023,24/08/2023,25/08/2023,2426
TRN02020640,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000138,7040610000139,24/08/2023,25/08/2023,26/08/2023,288
TRN02020641,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000139,7040610000140,25/08/2023,26/08/2023,27/08/2023,1378
TRN02020642,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000140,7040610000141,26/08/2023,27/08/2023,28/08/2023,1063
TRN02020643,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000141,7040610000142,23/08/2023,24/08/2023,25/08/2023,1837
TRN02020644,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000142,7040610000143,24/08/2023,25/08/2023,26/08/2023,1190
TRN02020645,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000143,7040610000144,25/08/2023,26/08/2023,27/08/2023,807
TRN02020646,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000144,7040610000145,26/08/2023,27/08/2023,28/08/2023,2410
TRN02020647,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000145,7040610000146,23/08/2023,24/08/2023,25/08/2023,23
TRN02020648,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000146,7040610000147,24/08/2023,25/08/2023,26/08/2023,2606
TRN02020649,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000147,7040610000148,25/08/2023,26/08/2023,27/08/2023,1061
TRN02020650,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000148,7040610000149,26/08/2023,27/08/2023,28/08/2023,2817
TRN02020651,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000149,7040610000150,23/08/2023,24/08/2023,25/08/2023,204
TRN02020652,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000150,7040610000151,24/08/2023,25/08/2023,26/08/2023,1205
TRN02020653,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000151,7040610000152,25/08/2023,26/08/2023,27/08/2023,602
TRN02020654,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000152,7040610000153,26/08/2023,27/08/2023,28/08/2023,1091
TRN02020655,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000153,7040610000154,27/08/2023,28/08/2023,29/08/2023,2336
TRN02020656,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000154,7040610000155,28/08/2023,29/08/2023,30/08/2023,1386
TRN02020657,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000155,7040610000156,29/08/2023,30/08/2023,31/08/2023,1006
TRN02020658,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000156,7040610000157,30/08/2023,31/08/2023,01/09/2023,627
TRN02020659,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000157,7040610000158,31/08/2023,01/09/2023,02/09/2023,1237
TRN02020660,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000158,7040610000159,01/09/2023,02/09/2023,03/09/2023,1571
TRN02020661,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000159,7040610000160,02/09/2023,03/09/2023,04/09/2023,690
TRN02020662,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000160,7040610000161,03/09/2023,04/09/2023,05/09/2023,1286
TRN02020663,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000161,7040610000162,04/09/2023,05/09/2023,06/09/2023,2522
TRN02020664,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000162,7040610000163,05/09/2023,06/09/2023,07/09/2023,2234
TRN02020665,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000163,7040610000164,06/09/2023,07/09/2023,08/09/2023,2719
TRN02020666,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000164,7040610000165,07/09/2023,08/09/2023,09/09/2023,1111
TRN02020667,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000165,7040610000166,08/09/2023,09/09/2023,10/09/2023,1195
TRN02020668,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000166,7040610000167,09/09/2023,10/09/2023,11/09/2023,1704
TRN02020669,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000167,7040610000168,10/09/2023,11/09/2023,12/09/2023,3029
TRN02020670,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000168,7040610000169,11/09/2023,12/09/2023,13/09/2023,2025
TRN02020671,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000169,7040610000170,12/09/2023,13/09/2023,14/09/2023,2586
TRN02020672,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000170,7040610000171,13/09/2023,14/09/2023,15/09/2023,1831
TRN02020673,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000171,7040610000172,13/09/2023,14/09/2023,15/09/2023,1393
TRN02020674,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000172,7040610000173,10/09/2023,11/09/2023,12/09/2023,1784
TRN02020675,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000173,7040610000174,11/09/2023,12/09/2023,13/09/2023,160
TRN02020676,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000174,7040610000175,12/09/2023,13/09/2023,14/09/2023,2016
TRN02020677,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000175,7040610000176,13/09/2023,14/09/2023,15/09/2023,2749
TRN02020678,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000176,7040610000177,14/09/2023,15/09/2023,16/09/2023,2755
TRN02020679,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000177,7040610000178,15/09/2023,16/09/2023,17/09/2023,1311
TRN02020680,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000178,7040610000179,16/09/2023,17/09/2023,18/09/2023,1684
TRN02020681,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000179,7040610000180,17/09/2023,18/09/2023,19/09/2023,3163
TRN02020682,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000180,7040610000181,18/09/2023,19/09/2023,20/09/2023,343
TRN02020683,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000181,7040610000182,19/09/2023,20/09/2023,21/09/2023,259
TRN02020684,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000182,7040610000183,20/09/2023,21/09/2023,22/09/2023,2193
TRN02020685,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000183,7040610000184,21/09/2023,22/09/2023,23/09/2023,1608
TRN02020686,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000184,7040610000185,22/09/2023,23/09/2023,24/09/2023,463
TRN02020687,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000185,7040610000186,23/09/2023,24/09/2023,25/09/2023,2681
TRN02020688,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000186,7040610000187,24/09/2023,25/09/2023,26/09/2023,1210
TRN02020689,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000187,7040610000188,25/09/2023,26/09/2023,27/09/2023,228
TRN02020690,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000188,7040610000189,26/09/2023,27/09/2023,28/09/2023,2365
TRN02020691,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000189,7040610000190,27/09/2023,28/09/2023,29/09/2023,1575
TRN02020692,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000190,7040610000191,28/09/2023,29/09/2023,30/09/2023,2651
TRN02020693,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000191,7040610000192,29/09/2023,30/09/2023,01/10/2023,3160
TRN02020694,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000192,7040610000193,30/09/2023,01/10/2023,02/10/2023,3153
TRN02020695,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000193,7040610000194,01/10/2023,02/10/2023,03/10/2023,2490
TRN02020696,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000194,7040610000195,02/10/2023,03/10/2023,04/10/2023,1323
TRN02020697,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000195,7040610000196,03/10/2023,04/10/2023,05/10/2023,2491
TRN02020698,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000196,7040610000197,04/10/2023,05/10/2023,06/10/2023,1920
TRN02020699,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000197,7040610000198,05/10/2023,06/10/2023,07/10/2023,2262
TRN02020700,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000198,7040610000199,06/10/2023,07/10/2023,08/10/2023,2766
TRN02020701,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000199,7040610000200,07/10/2023,08/10/2023,09/10/2023,963
TRN02020702,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000200,7040610000201,08/10/2023,09/10/2023,10/10/2023,1189
TRN02020703,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000201,7040610000202,09/10/2023,10/10/2023,11/10/2023,2597
TRN02020704,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000202,7040610000203,10/10/2023,11/10/2023,12/10/2023,1367
