CustomerNumber|Address1|Address2|Address3|Address4|PostCodeOut|PostCodeIn|PostCode|CountryCode|ExtractDate
1000000123|141-143 Armada Way|Plymouth|Devon||CV11|4AF|CV11 4AF|GB|2020-01-01
1000000124|27 East Street|Newquay|Cornwall||PO33|2PH|PO33 2PH|GB|2020-01-01
1000000125|3/4 CastleS treet|Trowbridge|Wiltshire||BH21|1JA|BH21 1JA|GB|2020-01-01
1000000126|47/49 Queen Street|Cardiff|S Glamorgan||RH15|9AZ|RH15 9AZ|GB|2020-01-01
1000000127|2 High Street|Fordingbridge|Hampshire||LE13|0TR|LE13 0TR|GB|2020-01-01
1000000128|13 Market Square|Witney|Oxfordshire||CF37|1SB|CF37 1SB|GB|2020-01-01
1000000129|18 Greevegate|Hunstanton|Norfolk||BH1 |4BQ|BH1 4BQ |GB|2020-01-01
1000000130|31 Market Street|Heanor|Derbyshire||RH19|1SR|RH19 1SR|GB|2020-01-01
1000000131|8 The Drapery|Northampton|Northamptonshire||KY8 |4EZ|KY8 4EZ |GB|2020-01-01
1000000132|42/44 High Street|Kettering|Northamptonshire||LA14|1QX|LA14 1QX|GB|2020-01-01
1000000133|415 The Strand|The Strand|London||PO2 |0LN|PO2 0LN |GB|2020-01-01
1000000134|44 High Street|Bognor Regis|W Sussex||ML1 |1DE|ML1 1DE |GB|2020-01-01
1000000135|7 Pearl Assurance House|Newton Abbot|Devon||BN3 |3YA|BN3 3YA |GB|2020-01-01
1000000136|85 High Street|Barnstaple|Devon||LE67|3XA|LE67 3XA|GB|2020-01-01
1000000137|91 High Street|Burnham|Berkshire||BH15|1DJ|BH15 1DJ|GB|2020-01-01
1000000138|4 High West Street|Dorchester|Dorset||TN9 |1SD|TN9 1SD |GB|2020-01-01
1000000139|86 High Street|Sevenoaks|Kent||SW17|0RG|SW17 0RG|GB|2020-01-01
1000000140|75 North Road|Lancing|W Sussex||BD1 |3HN|BD1 3HN |GB|2020-01-01
1000000141|28 Westgate Street|Gloucester|Glos||B27 |6RA|B27 6RA |GB|2020-01-01
1000000142|77 Charles Street|Milford Haven|Dyfed||PO37|7AE|PO37 7AE|GB|2020-01-01
1000000143|4 Church Street|Monmouth|Gwent||NG17|1DG|NG17 1DG|GB|2020-01-01
1000000144|36 Cardiff Road|Caerphilly|Mid Glamorgan||DE6 |1HQ|DE6 1HQ |GB|2020-01-01
1000000145|33/34 Commercial Street|Newport|Gwent||GU11|1EH|GU11 1EH|GB|2020-01-01
1000000146|11 Guildhall Square|Carmarthen|Carmarthenshire||NG1 |2NE|NG1 2NE |GB|2020-01-01
1000000147|26 The Mall|Cwmbran|Gwent||DY6 |9JU|DY6 9JU |GB|2020-01-01
1000000148|258 High Street|Bangor|Gwynedd||NN10|0NZ|NN10 0NZ|GB|2020-01-01
1000000149|79 Station Road|Port Talbot|WGlamorgan||WC1V|7HZ|WC1V 7HZ|GB|2020-01-01
1000000150|5 Mostyn Street|Llandudno|Gwynedd||NG9 |2JG|NG9 2JG |GB|2020-01-01
1000000151|7 George Street|Pontypool|Gwent||SL3 |8HN|SL3 8HN |GB|2020-01-01
1000000152|30/32 Pool Street|Caernarfon|Gwynedd||B4  |7SL|B4 7SL  |GB|2020-01-01
1000000153|29-31 High Street|Newport|Shropshire||SG6 |3EU|SG6 3EU |GB|2020-01-01
1000000154|244 South Coast Road|Peacehaven|East Sussex||BT2 |7PL|BT2 7PL |GB|2020-01-01
1000000155|1 George Street|Hailsham|E Sussex||BL9 |0AB|BL9 0AB |GB|2020-01-01
1000000156|12/14 Wigmore Street|Wigmore St.|London||N17 |6QT|N17 6QT |GB|2020-01-01
1000000157|43 Queen Square|Wolverhampton|West Midlands||CT9 |2QY|CT9 2QY |GB|2020-01-01
1000000158|107a St James Square|Newport|Isle Of Wight||WN7 |4PG|WN7 4PG |GB|2020-01-01
1000000159|29 Burscough Street|Ormskirk|Lancashire||EN6 |1AX|EN6 1AX |GB|2020-01-01
1000000160|59 High Street|Uckfield|E Sussex||WD6 |1BU|WD6 1BU |GB|2020-01-01
1000000161|21 High Street|Broadstairs|Kent||CR9 |1HP|CR9 1HP |GB|2020-01-01
1000000162|10 Cooden Sea Road|Little Common|E Sussex||B79 |7LD|B79 7LD |GB|2020-01-01
1000000163|132 Mortimer Street|Herne Bay|Kent||RG5 |3NW|RG5 3NW |GB|2020-01-01
1000000164|14 Market Street|Faversham|Kent||NN5 |6JF|NN5 6JF |GB|2020-01-01
1000000165|34 High Street|Battle|E Sussex||SK17|6BJ|SK17 6BJ|GB|2020-01-01
1000000166|41 High Street|Tenterden|Kent||NR19|1EA|NR19 1EA|GB|2020-01-01
1000000167|32 The Square|Birchington|Kent||BH14|9EZ|BH14 9EZ|GB|2020-01-01
1000000168|132 Cannock Road|Scotlands|West Midlands||DT1 |1UJ|DT1 1UJ |GB|2020-01-01
1000000169|23 Dudley Street|Sedgley|West Midlands||PO21|1SP|PO21 1SP|GB|2020-01-01
1000000170|29 Station Road|Swanage|Dorset||ME14|1DA|ME14 1DA|GB|2020-01-01
1000000171|80 High Street|Hythe|Kent||PA34|5SL|PA34 5SL|GB|2020-01-01
1000000172|32 St Stephens Street|Norwich|Norfolk||DN35|8HL|DN35 8HL|GB|2020-01-01
1000000173|25 High Street|Nantwich|||SS8 |7AS|SS8 7AS |GB|2020-01-01
1000000174|5A Market Place|Swaffham|Norfolk||WA10|1RQ|WA10 1RQ|GB|2020-01-01
1000000175|70 Westbury Hill|Westbury-On-Trym|Avon||NN1 |4EW|NN1 4EW |GB|2020-01-01
1000000176|22 High Street|Great Dunmow|Essex||CT21|5AJ|CT21 5AJ|GB|2020-01-01
1000000177|33 HighStreet|Alfreton|Derbyshire||CO10|2EA|CO10 2EA|GB|2020-01-01
1000000178|17 North Street|Bourne|Lincolnshire||OX1 |1ET|OX1 1ET |GB|2020-01-01
1000000179|5-7 Grove Street|Wilmslow|||WV3 |8AZ|WV3 8AZ |GB|2020-01-01
1000000180|14 High Street|Olney|Bucks||OL16|1XN|OL16 1XN|GB|2020-01-01
1000000181|22 Broad Street|March|Cambs||KT22|7AX|KT22 7AX|GB|2020-01-01
1000000182|1 Angel House|Whittlesey|Cambs||DA1 |1BE|DA1 1BE |GB|2020-01-01
1000000183|65 Regent Street|Shanklin|Isle Of Wight||BH6 |3QZ|BH6 3QZ |GB|2020-01-01
1000000184|395 Old London Road|Ore|E Sussex||W1H |6LZ|W1H 6LZ |GB|2020-01-01
1000000185|36 Kingsley Park Terrace|Northampton|Northamptonshire||TA20|1QR|TA20 1QR|GB|2020-01-01
1000000186|5 Willow Parade|Langley|Berkshire||M1  |1NB|M1 1NB  |GB|2020-01-01
1000000187|32 Station Road|Longfield|Kent||PE27|5AH|PE27 5AH|GB|2020-01-01
1000000188|53 Knight Street|Sawbridgeworth|Hertfordshire||BH19|1AD|BH19 1AD|GB|2020-01-01
1000000189|3 Spring Gardens Centre|Buxton|Derbyshire||PE37|7AB|PE37 7AB|GB|2020-01-01
1000000190|1a South Street|Wareham|Dorset||TN1 |2TB|TN1 2TB |GB|2020-01-01
1000000191|39 High Street|Wednesfield|West Midlands||BS1 |3BD|BS1 3BD |GB|2020-01-01
1000000192|148 Statio nRoad|Ferndown|Dorset||W13 |9BP|W13 9BP |GB|2020-01-01
1000000193|24 Bridge Street|Kirkwall|||TN12|6EN|TN12 6EN|GB|2020-01-01
1000000194|37 Stockport Road|Marple|||B23 |6SY|B23 6SY |GB|2020-01-01
1000000195|196 Hope Street|Glasgow|||IG11|8DP|IG11 8DP|GB|2020-01-01
1000000196|463 Union Street|Aberdeen|||SO41|9UZ|SO41 9UZ|GB|2020-01-01
1000000197|41-43 Chester Road West|Shotton|||DN22|6NY|DN22 6NY|GB|2020-01-01
1000000198|26 High Street|Mold|||WC2R|0NS|WC2R 0NS|GB|2020-01-01
1000000199|40-42 Wheelock Street|Middlewich|||RG1 |2AX|RG1 2AX |GB|2020-01-01
1000000200|4 Allport Lane|Bromborough|||BN25|1QU|BN25 1QU|GB|2020-01-01
1000000201|12 The Springs|Wakefield|W Yorkshire||SO14|7DT|SO14 7DT|GB|2020-01-01
1000000202|106a Almondvale South|Livingston|West Lothian||KA1 |1PG|KA1 1PG |GB|2020-01-01
1000000203|10 North Walk|Yate|Gloucestershire||SM1 |1HR|SM1 1HR |GB|2020-01-01
1000000204|11 Market Place|Pontefract|West Yorkshire||PR9 |0UF|PR9 0UF |GB|2020-01-01
1000000205|14 High Street|Redcar|Cleveland||B91 |3SH|B91 3SH |GB|2020-01-01
1000000206|32-33 Upper Street|Islington|London||G   |G2 |G2 2UG  |GB|2020-01-01
1000000207|29-33 Finkle Street|Kendal|Cumbria||WV1 |1TX|WV1 1TX |GB|2020-01-01
1000000208|147/149 Telegraph Road|Heswall|||TS26|9DL|TS26 9DL|GB|2020-01-01
1000000209|1635 Great Western Road|Glasgow|||KA12|8BQ|KA12 8BQ|GB|2020-01-01
1000000210|151 Market Street|St Andrews|||E3  |5EH|E3 5EH  |GB|2020-01-01
1000000211|7 Eastgate|Peebles|||LE2 |5BF|LE2 5BF |GB|2020-01-01
1000000212|3 South Charlotte Street|Edinburgh|||TW3 |1HH|TW3 1HH |GB|2020-01-01
1000000213|3 Church Street|Frodsham|||CW7 |1AS|CW7 1AS |GB|2020-01-01
1000000214|81 High Street|Runcorn|||W8  |6SH|W8 6SH  |GB|2020-01-01
1000000215|16-16a The Square|Wimborne|Dorset||SO15|3TG|SO15 3TG|GB|2020-01-01
1000000216|20 The Quay|Bideford|Devon||CW12|1AS|CW12 1AS|GB|2020-01-01
1000000217|448 Wimborne Road|Winton|Dorset||LA4 |5DF|LA4 5DF |GB|2020-01-01
1000000218|2 Potacre Street|Torrington|Devon||NW7 |3LB|NW7 3LB |GB|2020-01-01
1000000219|35-37 High Street|Alfreton|||S43 |3UX|S43 3UX |GB|2020-01-01
1000000220|845 Osmaston Road|Allenton|||DD1 |1TF|DD1 1TF |GB|2020-01-01
1000000221|24 Market Place|Ashbourne|||NG18|1HZ|NG18 1HZ|GB|2020-01-01
1000000222|37 Market Street|Ashby|||HA7 |4HF|HA7 4HF |GB|2020-01-01
1000000223|147/149 High Street|Falkirk|Stirlingshire||BT52|1DE|BT52 1DE|GB|2020-01-01
1000000224|13-15 Leslie Street|Blairgowrie|Perthshire||EX16|6AA|EX16 6AA|GB|2020-01-01
1000000225|63 Bridge Street|Pinner|Middlesex||B90 |3AY|B90 3AY |GB|2020-01-01
1000000226|30 High Street|Staines|Middlesex||EN11|8EJ|EN11 8EJ|GB|2020-01-01
1000000227|123B High Street|Waltham Cross|Hertfordshire||AB42|1ZQ|AB42 1ZQ|GB|2020-01-01
1000000228|14 Crossgate|Cupar|Fife||KT6 |4NW|KT6 4NW |GB|2020-01-01
1000000229|25 Euston Road|Morecambe|Lancashire||HP5 |1BX|HP5 1BX |GB|2020-01-01
1000000230|62 Church Street|Garstang|Lancashire||N14 |5BQ|N14 5BQ |GB|2020-01-01
1000000231|29 High Street|Biggleswade|Bedfordshire||DE1 |1SJ|DE1 1SJ |GB|2020-01-01
1000000232|147 St Mary's Lane|Upminster|Essex||NE28|8NX|NE28 8NX|GB|2020-01-01
1000000233|251 London Road|Mitcham|Surrey||PE1 |1LY|PE1 1LY |GB|2020-01-01
1000000234|Unit 48 Southside|Wandsworth|London||OX14|5SB|OX14 5SB|GB|2020-01-01
1000000235|71 Church Street|Bilston|WestMidlands||PH1 |5PZ|PH1 5PZ |GB|2020-01-01
1000000236|5 Market Place|Blandford Forum|Dorset||DA3 |7QD|DA3 7QD |GB|2020-01-01
1000000237|31a West Street|Bridport|Dorset||W6  |9JN|W6 9JN  |GB|2020-01-01
1000000238|1 Threadneedle Street|London|London||PE25|3ND|PE25 3ND|GB|2020-01-01
1000000239|169 Lower Blandford Road|Broadstone|Dorset||HA3 |7BH|HA3 7BH |GB|2020-01-01
1000000240|30 St.Peters Avenue|Cleethorpes|NeLincolnshire||EN8 |7AD|EN8 7AD |GB|2020-01-01
1000000241|131 High Street|Huntingdon|Cambs||BN6 |8AN|BN6 8AN |GB|2020-01-01
1000000242|75 Market Street|Ashby-De-La-Zouch|Leicestershire||GU14|7SA|GU14 7SA|GB|2020-01-01
1000000243|24 The Hollow|Earl Shilton|Leicestershire||SL2 |1BT|SL2 1BT |GB|2020-01-01
1000000244|8 High Street|Market Harborough|Leicestershire||BN6 |9RG|BN6 9RG |GB|2020-01-01
1000000245|3 Market Place|Wantage|Oxfordshire||BH24|1AN|BH24 1AN|GB|2020-01-01
1000000246|127 Sibson Road|Birstall|Leicestershire||SS6 |7JB|SS6 7JB |GB|2020-01-01
1000000247|21 Riverside Walk|Thetford|Norfolk||CF83|1UQ|CF83 1UQ|GB|2020-01-01
1000000248|58 High Street|Bridgnorth|Shropshire||NN16|8SW|NN16 8SW|GB|2020-01-01
1000000249|1 Northgate|Sleaford|Lincolnshire||LE18|1NR|LE18 1NR|GB|2020-01-01
1000000250|3 Nelson Place|East Dereham|Norfolk||SW16|1BJ|SW16 1BJ|GB|2020-01-01
1000000251|3 West End|Holbeach|Lincolnshire||NG17|1EL|NG17 1EL|GB|2020-01-01
1000000252|17 Haven Road|Poole|Dorset||SP1 |2AF|SP1 2AF |GB|2020-01-01
1000000253|18 Bridge Street|Congleton|||TS1 |1RD|TS1 1RD |GB|2020-01-01
1000000254|14 Market Place|Fakenham|Norfolk||SP10|1LH|SP10 1LH|GB|2020-01-01
1000000255|23 High Street|Irthlingborough|Northamptonshire||NR2 |1SX|NR2 1SX |GB|2020-01-01
1000000256|3 Mere Street|Diss|Norfolk||BA14|8AJ|BA14 8AJ|GB|2020-01-01
1000000257|3 Maryport Street|Devizes|Wiltshire||N8  |9SL|N8 9SL  |GB|2020-01-01
1000000258|2 Bridge Street|Rothwell|Northamptonshire||AL1 |3NA|AL1 3NA |GB|2020-01-01
1000000259|8 Sheep Market|St.Ives|Cambs||OX16|5PQ|OX16 5PQ|GB|2020-01-01
1000000260|1 Wolverhampton Road|Codsall|Wolverhampton||G41 |3NN|G41 3NN |GB|2020-01-01
1000000261|96 Newland Street|Witham|Essex||PO7 |7HE|PO7 7HE |GB|2020-01-01
1000000262|1 New Market|Beccles|Suffolk||NN1 |2BJ|NN1 2BJ |GB|2020-01-01
1000000263|117 Northdown Road|Cliftonville|Kent||IP1 |3DL|IP1 3DL |GB|2020-01-01
1000000264|42 High Street|Sheringham|Norfolk||BT1 |1LX|BT1 1LX |GB|2020-01-01
1000000265|5 Market Square|St.Neots|Cambs||PA1 |1XW|PA1 1XW |GB|2020-01-01
1000000266|5 High Street|Stony Stratford|Bucks||TW18|4EE|TW18 4EE|GB|2020-01-01
1000000267|66A-68 High Street|Ramsey|Cambs||SS14|1BX|SS14 1BX|GB|2020-01-01
1000000268|39 Connaught Avenue|Frinton-On-Sea|Essex||E15 |1NU|E15 1NU |GB|2020-01-01
1000000269|60 Blackburn Road|Accrington|||BH18|8DH|BH18 8DH|GB|2020-01-01
1000000270|14 Market Sqare|Westerham|Kent||NR1 |3SH|NR1 3SH |GB|2020-01-01
1000000271|55 Commercial Road|PaddockWood|Kent||EH10|4QW|EH10 4QW|GB|2020-01-01
1000000272|9 High Street|Princes Risborough|Bucks||B97 |4EX|B97 4EX |GB|2020-01-01
1000000273|9/11 High Street|Melton Mowbray|Leicestershire||CR8 |2LN|CR8 2LN |GB|2020-01-01
1000000274|3 The Square|Richmond Upon Thames|Surrey||CW10|9AB|CW10 9AB|GB|2020-01-01
