CustomerNumber|TelephoneHome|TelephoneMob|TelephoneWork|Email|ExtractDate
1000000078|04382 525017|01164 346078|04275 609078|078basil.rozenekdps@test.com|2020-01-01
1000000079|04382 525079|01164 346079|04275 609079|079basil.rozenekdps@test.com|2020-01-01
1000000080|04382 525080|01164 346080|04275 609080|080basil.rozenekdps@test.com|2020-01-01
1000000081|04382 525081|01164 346081|04275 609081|081basil.rozenekdps@test.com|2020-01-01
1000000082|04382 525082|01164 346082|04275 609082|082basil.rozenekdps@test.com|2020-01-01
1000000083|04382 525083|01164 346083|04275 609083|083basil.rozenekdps@test.com|2020-01-01
1000000084|04382 525084|01164 346084|04275 609084|084basil.rozenekdps@test.com|2020-01-01
1000000085|04382 525017|01164 346085|04275 609085|085basil.rozenekdps@test.com|2020-01-01
1000000086|04382 525086|01164 346086|04275 609086|086basil.rozenekdps@test.com|2020-01-01
1000000087|04382 525087|01164 346087|04275 609087|087basil.rozenekdps@test.com|2020-01-01
1000000088|04382 525088|01164 346088|04275 609088|088basil.rozenekdps@test.com|2020-01-01
1000000089|04382 525089|01164 346089|04275 609089|089basil.rozenekdps@test.com|2020-01-01
1000000090|04382 525090|01164 346090|04275 609090|090basil.rozenekdps@test.com|2020-01-01
1000000091|04382 525091|01164 346091|04275 609091|091basil.rozenekdps@test.com|2020-01-01
1000000092|04382 525092|01164 346092|04275 609092|092basil.rozenekdps@test.com|2020-01-01
1000000093|04382 525093|01164 346093|04275 609093|093basil.rozenekdps@test.com|2020-01-01
1000000094|04382 525017|01164 346094|04275 609094|094basil.rozenekdps@test.com|2020-01-01
1000000095|04382 525095|01164 346095|04275 609095|095basil.rozenekdps@test.com|2020-01-01
1000000096|04382 525096|01164 346096|04275 609096|096basil.rozenekdps@test.com|2020-01-01
1000000097|04382 525097|01164 346097|04275 609097|097basil.rozenekdps@test.com|2020-01-01
1000000098|04382 525098|01164 346094|04275 609098|098basil.rozenekdps@test.com|2020-01-01
1000000099|04382 525099|01164 346094|04275 609099|099basil.rozenekdps@test.com|2020-01-01
1000000149|04382 525094|01164 346085|04275 609003|094basil.rozenekdps@test.com|2020-01-01
